[2026-05-21--12-02-11 INFO actix_server::builder] starting 5 workers
[2026-05-21--12-02-11 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-21--12-02-11 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-21--12-02-11 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-22--12-26-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54670.
[2026-05-22--12-26-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54675.
[2026-05-22--12-26-32 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-32 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
[2026-05-22--12-26-33 ERROR litesvm] Program account Dxf1PDY1sQjy3qEkekiV26rDv3W6GdkQSKx6hLLf13nK is not executable.
